adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000006201-18-000027	6201	AMERICAN AIRLINES GROUP INC.	4512	US	TX	FORT WORTH	76155	4333 AMON CARTER BLVD		8179631234	US	TX	FORT WORTH	75261-9616	4333 AMON CARTER BLVD		US	DE	751825172	AMR CORP	19920703	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180726	2018-07-26 07:33:00.0	0	1	aal-20180630.xml	2	4515
0000006281-18-000106	6281	ANALOG DEVICES INC	3674	US	MA	NORWOOD	02062	ONE TECHNOLOGY WAY		7813294700	US	MA	NORWOOD	02062	ONE TECHNOLOGY WAY		US	MA	042348234			1-LAF	0	1031	10-Q	20180731	2018	Q3	20180822	2018-08-22 08:16:00.0	0	1	adi-20180804.xml	1	
0000006845-18-000014	6845	APOGEE ENTERPRISES, INC.	3231	US	MN	MINNEAPOLIS	55435	4400 WEST 78TH STREET	SUITE 520	6128351874	US	MN	MINNEAPOLIS	55435	4400 WEST 78TH STREET	SUITE 520	US	MN	410919654	APOGEE ENTERPRISES INC	19920703	1-LAF	0	0228	10-Q	20180531	2018	Q1	20180712	2018-07-12 15:13:00.0	0	1	apog-20180602.xml	1	
0000006885-18-000276	6885	STAGE STORES INC	5651	US	TX	HOUSTON	77027	2425 WEST LOOP SOUTH		7136675601	US	TX	HOUSTON	77027	2425 WEST LOOP SOUTH		US	NV	911826900	APPAREL RETAILERS INC	19930908	2-ACC	0	0131	10-Q	20180731	2018	Q2	20180913	2018-09-13 15:22:00.0	0	1	ssi-20180804.xml	1	
0000006951-18-000029	6951	APPLIED MATERIALS INC /DE	3674	US	CA	SANTA CLARA	95054-3299	3050 BOWERS AVE		4087275555	US	CA	SANTA CLARA	95054-3299	3050 BOWERS AVE		US	DC	941655526	APPLIED MATERIALS TECHNOLOGY INC	19730319	1-LAF	0	1031	10-Q	20180731	2018	Q3	20180823	2018-08-23 16:21:00.0	0	1	amat-20180729.xml	1	
0000006955-18-000027	6955	ACTUANT CORP	3590	US	WI	MENOMONEE FALLS	53051	ATTN:  BOB WROCKLAGE	N86 W12500 WESTBROOK CROSSING	262-293-1612	US	WI	MENOMONEE FALLS	53051	ATTN:  BOB WROCKLAGE	N86 W12500 WESTBROOK CROSSING	US	WI	390168610	APPLIED POWER INC	19920703	1-LAF	0	0831	10-Q	20180531	2018	Q3	20180709	2018-07-09 17:15:00.0	0	1	atu-20180531.xml	1	
0000007039-18-000037	7039	TRECORA RESOURCES	2911	US	TX	SUGAR LAND	77478	1650 HWY 6 SOUTH, SUITE 190		281-980-5522	US	TX	SUGAR LAND	77478	1650 HWY 6 SOUTH, SUITE 190		US	DE	751256622	ARABIAN AMERICAN DEVELOPMENT CO	20000811	2-ACC	0	1231	10-Q	20180630	2018	Q2	20180806	2018-08-06 17:32:00.0	0	1	trec-20180630.xml	1	
0000007084-18-000032	7084	ARCHER DANIELS MIDLAND CO	2070	US	IL	CHICAGO	60601	77 W. WACKER DR.		312-634-8233	US	IL	CHICAGO	60601	77 W. WACKER DR.		US	DE	410129150			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180731	2018-07-31 16:02:00.0	0	1	adm-20180630.xml	1	
0000007332-18-000043	7332	SOUTHWESTERN ENERGY CO	1311	US	TX	SPRING	77389	10000 ENERGY DRIVE		832-796-4700	US	TX	SPRING	77389	10000 ENERGY DRIVE		US	DE	710205415	ARKANSAS WESTERN GAS CO	19790917	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180802	2018-08-02 16:27:00.0	0	1	swn-20180630.xml	1	
0000007789-18-000040	7789	ASSOCIATED BANC-CORP	6022	US	WI	GREEN BAY	54301	433 MAIN STREET		920-491-7500	US	WI	GREEN BAY	54301	433 MAIN STREET		US	WI	391098068	ASSOCIATED BANK SERVICES INC	19770626	1-LAF	1	1231	10-Q	20180630	2018	Q2	20180726	2018-07-26 16:28:00.0	0	1	asb06302018form10-q_htm.xml	1	
0000008063-18-000020	8063	ASTRONICS CORP	3728	US	NY	EAST AURORA	14052-2191	130 COMMERCE WAY	-	716-805-1599	US	NY	EAST AURORA	14052-2191	130 COMMERCE WAY	-	US	NY	160959303	ASTRONICS LUMINESCENT INC	19711209	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180808	2018-08-08 16:56:00.0	0	1	atro-20180630.xml	1	
0000008670-18-000011	8670	AUTOMATIC DATA PROCESSING INC	7374	US	NJ	ROSELAND	07068	ONE ADP BOULVARD		9739745000	US	NJ	ROSELAND	07068	ONE ADP BOULEVARD		US	DE	221467904			1-LAF	1	0630	10-K	20180630	2018	FY	20180803	2018-08-03 16:50:00.0	0	1	adp-20180630.xml	1	
0000008858-18-000047	8858	AVNET INC	5065	US	AZ	PHOENIX	85034	2211 SOUTH 47TH STREET		4806432000	US	AZ	PHOENIX	85034	2211 SOUTH 47TH STREET		US	NY	111890605			1-LAF	1	0630	10-K	20180630	2018	FY	20180817	2018-08-16 20:36:00.0	0	1	avt-20180630.xml	1	
0000008868-18-000043	8868	AVON PRODUCTS INC	2844	US	NY	RYE	10580	601 MIDLAND AVENUE		914-935-2000	US	NY	RYE	10580	601 MIDLAND AVENUE		US	NY	130544597			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180803	2018-08-03 06:59:00.0	0	1	avp-20180630.xml	1	
0000008947-18-000108	8947	AZZ INC	3640	US	TX	FORT WORTH	76107	ONE MUSEUM PLACE, SUITE 500	3100 W 7TH STREET	8178100095	US	TX	FORT WORTH	76107	ONE MUSEUM PLACE, SUITE 500	3100 W 7TH STREET	US	TX	750948250	AZTEC MANUFACTURING CO	20000911	1-LAF	0	0228	10-Q	20180531	2018	Q1	20180703	2018-07-03 06:37:00.0	0	1	azz-20170531.xml	1	
0000009092-18-000010	9092	BADGER METER INC	3824	US	WI	MILWAUKEE	53223	4545 WEST BROWN DEER ROAD		4143715702	US	WI	MILWAUKEE	53223	4545 W BROWN DEER RD		US	WI	390143280	BADGER METER MANUFACTURING CO	19710729	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180725	2018-07-25 16:31:00.0	0	1	bmi-20180630.xml	1	
0000009346-18-000076	9346	PROTECTIVE INSURANCE CORP	6331	US	IN	CARMEL	46032	111 CONGRESSIONAL BLVD	STE 500	317-452-7426	US	IN	CARMEL	46032	111 CONGRESSIONAL BLVD	STE 500	US	IN	350160330	BALDWIN & LYONS INC	19930908	2-ACC	0	1231	10-Q	20180630	2018	Q2	20180808	2018-08-08 14:21:00.0	0	1	bwinb-20180630.xml	1	
0000009984-18-000059	9984	BARNES GROUP INC	3490	US	CT	BRISTOL	06010	123 MAIN ST		8605837070	US	CT	BRISTOL	06010	123 MAIN ST		US	DE	060247840	ASSOCIATED SPRING CORP	19760518	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180727	2018-07-27 14:15:00.0	0	1	b-20180630.xml	1	
0000010048-18-000012	10048	BARNWELL INDUSTRIES INC	1311	US	HI	HONOLULU	96813	1100 ALAKEA ST.	SUITE 2900	808-531-8400	US	HI	HONOLULU	96813	1100 ALAKEA ST.	SUITE 2900	US	DE	720496921	BMA CORP/TN	19770324	5-SML	0	0930	10-Q	20180630	2018	Q3	20180813	2018-08-13 14:30:00.0	0	1	brn-20180630.xml	1	
0000010254-18-000026	10254	EARTHSTONE ENERGY INC	1311	US	TX	THE WOODLANDS	77380	1400 WOODLOCH FOREST DRIVE	SUITE 300	281-298-4246	US	TX	THE WOODLANDS	77380	1400 WOODLOCH FOREST DRIVE	SUITE 300	US	DE	840592823	BASIC EARTH SCIENCE SYSTEMS INC	19920703	2-ACC	0	1231	10-Q	20180630	2018	Q2	20180806	2018-08-06 16:06:00.0	0	1	este-20180630.xml	1	
0000010795-18-000023	10795	BECTON DICKINSON & CO	3841	US	NJ	FRANKLIN LAKES	07417-1880	ONE BECTON DR		2018476800	US	NJ	FRANKLIN LAKE	07417	ONE BECTON DR		US	NJ	220760120			1-LAF	0	0930	10-Q	20180630	2018	Q3	20180802	2018-08-02 15:10:00.0	0	1	bdx-20180630.xml	1	
0000011199-18-000038	11199	BEMIS CO INC	2670	US	WI	NEENAH	54956	2301 INDUSTRIAL DRIVE		(920) 727-41	US	WI	NEENAH	54956	2301 INDUSTRIAL DRIVE		US	MO	430178130			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180727	2018-07-27 12:51:00.0	0	1	bms-20180630.xml	1	
0000011544-18-000065	11544	BERKLEY W R CORP	6331	US	CT	GREENWICH	06830	475 STEAMBOAT ROAD	.	2036293000	US	CT	GREENWICH	06830	475 STEAMBOAT ROAD	.	US	DE	221867895			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180806	2018-08-06 16:18:00.0	0	1	wrb-20180630.xml	1	
0000012400-18-000013	12400	BLACK HILLS POWER INC	4911	US	SD	RAPID CITY	57709	7001 MT RUSHMORE RD	PO BOX 1400	6057212343	US	SD	RAPID CITY	57709	7001 MT RUSHMORE RD	PO BOX 1400	US	SD	460111677	BLACK HILLS CORP	19920703	4-NON	0	1231	10-Q	20180630	2018	Q2	20180807	2018-08-07 17:30:00.0	0	1	bkh-20180630.xml	1	
0000012927-18-000048	12927	BOEING CO	3721	US	WA	SEATTLE	98124	P O BOX 3707 MS 1F 31		312-544-2000	US	IL	CHICAGO	60606-1596	100 N RIVERSIDE PLZ		US	DE	910425694	BOEING AIRPLANE CO	19730725	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180725	2018-07-25 12:55:00.0	0	1	ba-20180630.xml	1	
0000013239-18-000019	13239	HEXION INC.	2821	US	OH	COLUMBUS	43215	180 EAST BROAD STREET	26TH FLOOR	6142254000	US	OH	COLUMBUS	43215	180 EAST BROAD STREET	26TH FLOOR	US	NJ	130511250	MOMENTIVE SPECIALTY CHEMICALS INC.	20101008	4-NON	0	1231	10-Q	20180630	2018	Q2	20180807	2018-08-07 16:35:00.0	0	1	msc-20180630.xml	1	
0000014195-18-000029	14195	BRIGGS & STRATTON CORP	3510	US	WI	WAUWATOSA	53222	12301 W WIRTH ST		4142595333	US	WI	WAUWATOSA	53222	12301 W WIRTH ST		US	WI	390182330			1-LAF	1	0630	10-K	20180630	2018	FY	20180828	2018-08-28 16:53:00.0	0	1	bgg-20180701.xml	1	
0000014272-18-000160	14272	BRISTOL MYERS SQUIBB CO	2834	US	NY	NEW YORK	10016	430 E. 29TH STREET	14 FLOOR	2125464000	US	NY	NEW YORK	10016	430 E. 29TH STREET	14 FLOOR	US	DE	220790350	BRISTOL MYERS CO	19891012	1-LAF	1	1231	10-Q	20180630	2018	Q2	20180726	2018-07-26 11:32:00.0	0	1	bmy-20180630.xml	1	
0000014693-18-000165	14693	BROWN FORMAN CORP	2080	US	KY	LOUISVILLE	40210	850 DIXIE HWY		5025851100	US	KY	LOUISVILLE	40201	P O BOX 1080		US	DE	610143150	BROWN FORMAN INC	19870816	1-LAF	0	0430	10-Q	20180731	2019	Q1	20180829	2018-08-29 16:45:00.0	0	1	bfb-20180731.xml	1	
0000014707-18-000037	14707	CALERES INC	3140	US	MO	ST LOUIS	63105	8300 MARYLAND AVE	P O BOX 29	3148544000	US	MO	ST LOUIS	63166	P O BOX 29		US	NY	430197190	BROWN SHOE CO INC	20030613	1-LAF	0	0131	10-Q	20180731	2018	Q2	20180912	2018-09-12 15:42:00.0	0	1	cal-20180804.xml	1	
0000014846-18-000033	14846	BRT APARTMENTS CORP.	6798	US	NY	GREAT NECK	11021-3190	60 CUTTER MILL RD	SUITE 303	5164663100	US	NY	GREAT NECK	11021	60 CUTTER MILL ROAD	SUITE 303	US	NY	132755856	BRT REALTY TRUST	20170206	2-ACC	0	0930	10-Q	20180630	2018	Q3	20180808	2018-08-08 16:41:00.0	0	1	brt-20180630_htm.xml	1	
0000014930-18-000116	14930	BRUNSWICK CORP	3510	US	IL	METTAWA	60045-3420	26125 N. RIVERWOODS BLVD. SUITE 500		8477354700	US	IL	METTAWA	60045-3420	26125 N. RIVERWOODS BLVD. SUITE 500		US	DE	360848180	BRUNSWICK BALKE COLLENDER CO	19660919	1-LAF	1	1231	10-Q	20180630	2018	Q2	20180801	2018-08-01 15:11:00.0	0	1	bc-20180630.xml	1	
0000015615-18-000027	15615	MASTEC INC	1623	US	FL	CORAL GABLES	33134	800 S. DOUGLAS ROAD	12TH FLOOR	3055991800	US	FL	CORAL GABLES	33134	800 S. DOUGLAS ROAD	12TH FLOOR	US	FL	650829355	BURNUP & SIMS INC	19920703	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180802	2018-08-02 17:22:00.0	0	1	mtz-20180630.xml	1	
0000016099-18-000094	16099	LUBYS INC	5812	US	TX	HOUSTON	77040	13111 NORTHWEST FREEWAY	SUITE 600	(713) 329 68	US	TX	HOUSTON	77040	13111 NORTHWEST FREEWAY	SUITE 600	US	DE	741335253	LUBYS CAFETERIAS INC	19920703	2-ACC	0	0831	10-Q	20180531	2018	Q3	20180723	2018-07-23 16:44:00.0	0	1	lub-20180606.xml	1	
0000016160-18-000071	16160	CAL-MAINE FOODS INC	0200	US	MS	JACKSON	39209	3320 WOODROW WILSON DRIVE		6019486813	US	MS	JACKSON	39209	3320 WOODROW WILSON DR		US	DE	640500378	CAL MAINE FOODS INC	19961018	1-LAF	1	0531	10-K	20180531	2018	FY	20180723	2018-07-23 07:28:00.0	0	1	calm-20180602.xml	1	
0000016732-18-000062	16732	CAMPBELL SOUP CO	2000	US	NJ	CAMDEN	08103	CAMPBELL PL		8563424800	US	NJ	CAMDEN	08103	CAMPBELL PL		US	NJ	210419870			1-LAF	1	0731	10-K	20180731	2018	FY	20180927	2018-09-27 08:33:00.0	0	1	cpb-20180729.xml	1	
0000016875-18-000095	16875	CANADIAN PACIFIC RAILWAY LTD/CN	4011	CA	AB	CALGARY ALBERTA	T2C 4X9	7550 OGDEN DALE ROAD S.E.		403-319-3591	CA	AB	CALGARY ALBERTA	T2C 4X9	7550 OGDEN DALE ROAD S.E.				980355078	CANADIAN PACIFIC LTD	19930507	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180719	2018-07-18 18:15:00.0	0	1	q22018quarterlyreport-_htm.xml	1	
0000017843-18-000047	17843	CARPENTER TECHNOLOGY CORP	3312	US	PA	PHILADELPHIA	19103	BNY MELLON BUILDING	1735 MARKET STREET, 15TH FL	6102082000	US	PA	PHILADELPHIA	19103	BNY MELLON BUILDING	1735 MARKET STREET, 15TH FL	US	DE	230458500			1-LAF	1	0630	10-K	20180630	2018	FY	20180814	2018-08-14 16:04:00.0	0	1	crs-20180630.xml	1	
0000018172-18-000023	18172	CASTLE A M & CO	5051	US	IL	OAK BROOK	60523	1420 KENSINGTON ROAD	SUITE 220	8474557111	US	IL	OAK BROOK	60523	1420 KENSINGTON ROAD	SUITE 220	US	MD	360879160			5-SML	0	1231	10-Q	20180630	2018	Q2	20180809	2018-08-09 15:29:00.0	0	1	ctam-20180630.xml	1	
0000018230-18-000229	18230	CATERPILLAR INC	3531	US	IL	DEERFIELD	60015	510 LAKE COOK ROAD	SUITE 100	2245514000	US	IL	DEERFIELD	60015	510 LAKE COOK ROAD	SUITE 100	US	DE	370602744	CATERPILLAR TRACTOR CO	19860623	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180807	2018-08-07 12:18:00.0	0	1	cat-20180630.xml	1	
0000018255-18-000053	18255	CATO CORP	5621	US	NC	CHARLOTTE	28273-5975	8100 DENMARK ROAD		7045517352	US	NC	CHARLOTTE	28273-5975	8100 DENMARK ROAD		US	DE	560484485	CATO STORES INC	19701002	2-ACC	1	0731	10-Q	20180731	2018	Q2	20180830	2018-08-30 15:15:00.0	0	1	cato-20180804.xml	1	
0000018349-18-000038	18349	SYNOVUS FINANCIAL CORP	6021	US	GA	COLUMBUS	31901	1111 BAY AVENUE	STE 500 PO BOX 120	7066446362	US	GA	COLUMBUS	31901	1111 BAY AVENUE	STE 500 PO BOX 120	US	GA	581134883	CB&T BANCSHARES INC	19890912	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180808	2018-08-08 15:01:00.0	0	1	syn-20180630.xml	1	
0000018498-18-000039	18498	GENESCO INC	5661	US	TN	NASHVILLE	37217	GENESCO PK 1415 MURFREESBORO RD		6153677000	US	TN	NASHVILLE	37217	GENESCO PK 1415 MURFREESBORO RD		US	TN	620211340			1-LAF	0	0131	10-Q	20180731	2018	Q2	20180913	2018-09-13 16:06:00.0	0	1	gco-20180804.xml	1	
0000018926-18-000023	18926	CENTURYLINK, INC	4813	US	LA	MONROE	71203	P O BOX 4065	100 CENTURYLINK DR	3183889000	US	LA	MONROE	71203	100 CENTURYLINK DR	P O BOX 4065	US	LA	720651161	CENTURYTEL INC	19990602	1-LAF	1	1231	10-Q	20180630	2018	Q2	20180809	2018-08-09 16:19:00.0	0	1	ctl-20180630.xml	1	
0000019446-18-000049	19446	CANTEL MEDICAL CORP	3841	US	NJ	LITTLE FALLS	07424	OVERLOOK AT GREAT NOTCH	150 CLOVE ROAD	973-890-7220	US	NJ	LITTLE FALLS	07424	OVERLOOK AT GREAT NOTCH	150 CLOVE ROAD	US	DE	221760285	CANTEL INDUSTRIES INC	19920703	1-LAF	0	0731	10-K	20180731	2018	FY	20180927	2018-09-27 16:45:00.0	0	1	cmd-20180731.xml	1	
0000019612-18-000130	19612	CHEMICAL FINANCIAL CORP	6022	US	MI	DETROIT	48226	333 W. FORT STREET	SUITE 1800	800-867-9757	US	MI	DETROIT	48226	333 W. FORT STREET	SUITE 1800	US	MI	382022454			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180808	2018-08-08 14:48:00.0	0	1	chfc-20180630.xml	1	
0000019617-18-000151	19617	JPMORGAN CHASE & CO	6021	US	NY	NEW YORK	10017	270 PARK AVE	38TH FL	2122706000	US	NY	NEW YORK	10017	270 PARK AVENUE		US	DE	132624428	J P MORGAN CHASE & CO	20010102	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180801	2018-08-01 16:50:00.0	0	1	jpm-20180630.xml	1	
0000020212-18-000033	20212	CHURCHILL DOWNS INC	7948	US	KY	LOUISVILLE	40222	600 N. HURSTBOURNE PKWY	SUITE 400	5026364400	US	KY	LOUISVILLE	40222	600 N. HURSTBOURNE PKWY	SUITE 400	US	KY	610156015	CHURCHILL DOWNS INC	19920703	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180801	2018-08-01 16:52:00.0	0	1	chdn-20180630.xml	1	
0000020286-18-000047	20286	CINCINNATI FINANCIAL CORP	6331	US	OH	FAIRFIELD	45014	6200 S GILMORE RD		5138702000	US	OH	CINCINNATI	45250	P.O. BOX 145496		US	OH	310746871			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180726	2018-07-26 16:12:00.0	0	1	cinf-20180630.xml	1	
0000020520-18-000030	20520	FRONTIER COMMUNICATIONS CORP	4813	US	CT	NORWALK	06851	401 MERRITT 7		2036145600	US	CT	NORWALK	06851	401 MERRITT 7		US	DE	060619596	CITIZENS COMMUNICATIONS CO	20000619	1-LAF	0	1231	10-Q	20180630	2018	Q2	20180803	2018-08-02 17:52:00.0	0	1	ftr-20180630.xml	1	
0000020629-18-000057	20629	CSS INDUSTRIES INC	2771	US	PA	PLYMOUTH MEETING	19462	450 PLYMOUTH ROAD	SUITE 300	610-729-3959	US	PA	PLYMOUTH MEETING	19462	450 PLYMOUTH ROAD	SUITE 300	US	DE	131920657	CITY STORES CO	19851212	2-ACC	0	0331	10-Q	20180630	2018	Q1	20180801	2018-08-01 16:24:00.0	0	1	css-20180630.xml	1	
0000021076-18-000011	21076	CLOROX CO /DE/	2842	US	CA	OAKLAND	94612-1888	THE CLOROX COMPANY	1221 BROADWAY	5102717000	US	CA	OAKLAND	94612-1305	P.O. BOX 24305		US	DE	310595760			1-LAF	1	0630	10-K	20180630	2018	FY	20180814	2018-08-14 16:17:00.0	0	1	clx-20180630.xml	1	
0000021175-18-000089	21175	CNA FINANCIAL CORP	6331	US	IL	CHICAGO	60604	CNA	333 S. WABASH	3128225000	US	IL	CHICAGO	60604	CNA	333 S. WABASH	US	DE	366169860			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180730	2018-07-30 10:45:00.0	0	1	cna-20180630.xml	1	
0000021344-18-000032	21344	COCA COLA CO	2080	US	GA	ATLANTA	30313	ONE COCA COLA PLAZA		404-676-2121	US	GA	ATLANTA	30313	ONE COCA COLA PLAZA		US	DE	580628465			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180726	2018-07-26 14:40:00.0	0	1	ko-20180629.xml	1	
0000021510-18-000020	21510	COHERENT INC	3826	US	CA	SANTA CLARA	95054	5100 PATRICK HENRY DR		4087644000	US	CA	SANTA CLARA	95054	5100 PATRICK HENRY DRIVE	MAIL STOP P38	US	DE	941622541	COHERENT RADIATION	19770604	1-LAF	0	0930	10-Q	20180630	2018	Q3	20180807	2018-08-07 16:16:00.0	0	1	cohr-20180630.xml	1	
0000021665-18-000015	21665	COLGATE PALMOLIVE CO	2844	US	NY	NEW YORK	10022	300 PARK AVE		2123102000	US	NY	NEW YORK	10022	300 PARK AVE		US	DE	131815595			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180727	2018-07-27 09:05:00.0	0	1	cl-20180630.xml	1	
0000022356-18-000042	22356	COMMERCE BANCSHARES INC /MO/	6022	US	MO	KANSAS CITY	64106	1000 WALNUT		8162342000	US	MO	KANSAS CITY	64141-6248	P O BOX 419248		US	MO	430889454			1-LAF	0	1231	10-Q	20180630	2018	Q2	20180806	2018-08-06 11:18:00.0	0	1	cbsh-20180630.xml	1	
